Year,MO,DY,WS2M,T2M_MIN,T2M_MAX,T2MDEW,PRECTOTCORR,WS10M,PS,WD10M,SSM,SUSM
2016,6,25,1.15,30.86,42.64,17.03,0.63,1.66,97.45,158.0,2.551,12.205
2016,6,26,1.54,31.01,39.81,20.56,3.5,2.2,97.52,135.56,2.632,12.27
2016,6,27,1.48,30.51,40.07,22.43,6.59,2.15,97.39,154.81,2.713,12.335
2016,6,28,1.64,30.38,37.64,23.48,10.3,2.33,97.54,179.88,2.794,12.4
2016,6,29,1.45,29.91,40.88,22.23,1.48,2.06,97.57,168.75,4.663,13.209
2016,6,30,1.62,31.93,41.33,21.7,1.95,2.34,97.3,247.25,6.532,14.018
2016,7,1,2.02,30.73,39.69,24.08,15.71,2.87,97.0,238.12,8.401,14.827
2016,7,2,1.8,28.44,37.62,24.25,12.6,2.49,97.14,247.19,7.933,18.717
2016,7,3,1.03,28.34,36.91,22.83,9.86,1.45,97.26,199.5,7.464,22.606
2016,7,4,0.76,27.53,33.36,23.98,22.07,1.02,97.19,192.25,6.996,26.496
2016,7,5,2.02,27.81,40.43,22.96,0.26,2.91,97.02,269.06,6.418,26.557
2016,7,6,1.64,30.08,40.56,23.2,1.05,2.34,97.06,249.69,5.839,26.618
2016,7,7,1.59,29.03,40.33,21.8,0.69,2.3,97.22,229.31,5.261,26.679
2016,7,8,1.33,29.69,40.54,21.56,1.09,2.0,97.1,249.69,5.777,26.817
2016,7,9,1.16,28.98,39.96,22.08,2.49,1.74,97.13,171.31,6.294,26.956
2016,7,10,1.62,28.95,39.3,22.35,3.7,2.27,97.06,210.5,6.81,27.094
2016,7,11,2.25,28.7,39.34,22.23,1.01,3.09,97.2,181.38,8.425,27.614
2016,7,12,2.28,28.33,36.32,23.59,0.91,3.14,97.36,147.5,10.04,28.134
2016,7,13,1.59,29.46,35.3,23.99,3.46,2.24,97.34,173.69,11.655,28.654
2016,7,14,0.76,28.06,33.38,24.37,8.15,1.09,97.29,219.25,14.671,38.057
2016,7,15,1.55,27.58,36.35,24.13,7.55,2.24,97.27,248.81,17.688,47.46
2016,7,16,1.43,27.38,33.62,25.33,23.3,1.99,97.37,261.62,20.704,56.863
2016,7,17,1.38,26.09,30.74,25.48,88.19,1.96,97.56,277.75,17.426,58.83
2016,7,18,2.54,25.64,32.63,25.13,7.6,3.65,97.51,266.19,14.149,60.798
2016,7,19,3.14,25.65,34.73,24.71,0.03,4.6,97.39,266.25,10.871,62.765
2016,7,20,2.7,25.26,36.36,23.96,0.0,4.11,97.39,261.81,11.282,61.081
2016,7,21,2.31,26.08,36.24,24.51,4.63,3.58,97.37,249.25,11.693,59.398
2016,7,22,1.8,26.44,32.17,25.13,25.04,2.7,97.39,207.44,12.104,57.714
2016,7,23,1.81,26.12,33.82,25.19,4.06,2.65,97.59,184.81,12.683,57.013
2016,7,24,1.02,24.69,33.09,24.69,2.92,1.58,97.75,198.06,13.263,56.313
2016,7,25,0.98,25.51,34.76,24.7,1.97,1.59,97.66,229.38,13.842,55.612
2016,7,26,1.87,26.25,33.33,25.46,1.94,2.74,97.73,176.44,16.79,60.275
2016,7,27,2.15,25.85,30.32,25.17,3.84,3.16,97.94,123.44,19.737,64.939
2016,7,28,0.52,25.37,30.54,24.56,21.11,0.79,97.74,118.31,22.685,69.602
2016,7,29,0.7,25.33,31.48,25.17,31.65,1.01,97.54,226.81,22.136,73.935
2016,7,30,0.95,25.26,29.39,25.03,16.22,1.48,97.56,187.06,21.587,78.269
2016,7,31,0.8,25.15,31.62,25.03,6.12,1.3,97.53,56.88,21.038,82.602
2016,8,1,2.07,25.53,31.48,25.94,8.38,3.02,97.36,114.5,19.11,82.648
2016,8,2,2.12,25.3,31.7,24.76,2.66,3.19,97.3,112.38,17.182,82.695
2016,8,3,1.41,24.98,32.26,25.08,0.86,2.12,97.35,95.25,15.254,82.741
2016,8,4,1.44,25.81,33.3,25.22,0.3,2.21,97.43,127.81,15.778,80.79
2016,8,5,0.8,26.44,33.05,25.87,8.27,1.22,97.47,111.44,16.302,78.839
2016,8,6,1.14,26.95,32.81,25.66,7.82,1.69,97.48,108.31,16.826,76.888
2016,8,7,1.25,26.12,32.58,25.64,1.94,1.97,97.54,113.62,19.141,80.779
2016,8,8,1.35,25.67,32.9,25.69,0.67,2.08,97.5,99.44,21.456,84.669
2016,8,9,1.67,26.24,31.88,25.99,4.5,2.55,97.33,110.31,23.771,88.56
2016,8,10,2.2,25.93,30.5,25.65,10.69,3.33,97.38,115.44,23.869,93.384
2016,8,11,1.7,25.73,30.93,25.73,11.69,2.56,97.6,168.94,23.966,98.208
2016,8,12,1.28,24.51,32.14,24.94,12.96,1.95,97.62,298.69,24.064,103.032
2016,8,13,1.35,24.66,32.76,24.94,3.6,2.14,97.5,263.44,22.907,103.728
2016,8,14,1.35,25.19,32.3,24.66,2.2,2.23,97.44,257.75,21.75,104.425
2016,8,15,2.3,24.76,34.18,24.04,0.93,3.59,97.27,268.06,20.593,105.121
2016,8,16,2.64,24.12,34.42,24.12,0.13,4.04,97.15,276.19,20.115,102.581
2016,8,17,1.7,23.62,33.08,23.87,6.28,2.61,97.3,217.69,19.637,100.04
2016,8,18,0.91,25.41,32.37,24.76,4.36,1.53,97.41,164.0,19.159,97.5
2016,8,19,1.17,24.96,33.68,24.5,0.33,1.84,97.41,233.19,18.274,94.786
2016,8,20,1.77,25.8,32.65,25.37,0.16,2.74,97.5,109.94,17.388,92.071
2016,8,21,1.55,24.79,32.82,25.24,0.03,2.38,97.53,132.31,16.503,89.357
2016,8,22,1.06,24.58,33.72,24.72,0.68,1.67,97.7,153.75,16.636,86.904
2016,8,23,0.74,25.27,33.34,24.87,0.28,1.26,97.76,141.75,16.769,84.452
